full ID,dam,sire
C04-0201,C03-0503-,C03-0403
C04-0203~,C03-0503-,C03-1314~
C04-0204,C03-0503-,C03-0809-
C04-0205,C03-0503-,C03-1718-
C04-0301,C03-1314~,C03-0403
C04-0302-,C03-1314~,C03-0503-
C04-0304,C03-1314~,C03-0809-
C04-0305-,C03-1314~,C03-1718-
C04-0401,C03-0809-,C03-0403
C04-0402-,C03-0809-,C03-0503-
C04-0403-,C03-0809-,C03-1314~
C04-0405~,C03-0809-,C03-1718-
C04-0501-,C03-1718-,C03-0403
C04-0502-,C03-1718-,C03-0503-
C04-0503,C03-1718-,C03-1314~
C04-0504~,C03-1718-,C03-0809-
C04-0607-,C03-0607-,C03-0105-
C04-0620-,C03-0607-,C03-0305-
C04-0706-,C03-0105-,C03-0607-
C04-0708,C03-0105-,C03-0103~
C04-0807-,C03-0103~,C03-0105-
C04-0809~,C03-0103~,C03-0203-
C04-0908~,C03-0203-,C03-0103~
C04-0910-,C03-0203-,C03-0807-
C04-1009~,C03-0807-,C03-0203-
C04-1011-,C03-0807-,C03-1009~
C04-1110,C03-1009~,C03-0807-
C04-1112,C03-1009~,C03-1920-
C04-1211-,C03-1920-,C03-1009~
C04-1213~,C03-1920-,C03-0401~
C04-1312,C03-0401~,C03-1920-
C04-1314-,C03-0401~,C03-1617-
C04-1413~,C03-1617-,C03-0401~
C04-1415,C03-1617-,C03-0304~
C04-1514,C03-0304~,C03-1617-
C04-1516~,C03-0304~,C03-1514-
C04-1615,C03-1514-,C03-0304~
C04-1617,C03-1514-,C03-1415~
C04-1715,C03-1415~,C03-0304~
C04-1716-,C03-1415~,C03-1514-
C04-1817-,C03-0405~,C03-1415~
C04-1819-,C03-0405~,C03-1516-
C04-1918,C03-1516-,C03-0405~
C04-1920,C03-1516-,C03-0305-
C04-2006~,C03-0305-,C03-0607-
C04-2019~,C03-0305-,C03-1516-
C05-0102-,C04-0403-,C04-1314-
C05-0103-,C04-0403-,C04-0809~
C05-0104~,C04-0403-,C04-0402-
C05-0105~,C04-0403-,C04-0607-
C05-0201~,C04-1314-,C04-0403-
C05-0203~,C04-1314-,C04-0809~
C05-0204-,C04-1314-,C04-0402-
C05-0205,C04-1314-,C04-0607-
C05-0301-,C04-0809~,C04-0403-
C05-0302~,C04-0809~,C04-1314-
C05-0304-,C04-0809~,C04-0402-
C05-0305~,C04-0809~,C04-0607-
C05-0401-,C04-0402-,C04-0403-
C05-0402~,C04-0402-,C04-1314-
C05-0403-,C04-0402-,C04-0809~
C05-0405,C04-0402-,C04-0607-
C05-0501~,C04-0607-,C04-0403-
C05-0502-,C04-0607-,C04-1314-
C05-0503-,C04-0607-,C04-0809~
C05-0504,C04-0607-,C04-0402-
C05-0607-,C04-0105~,C04-0302-
C05-0620~,C04-0105~,C04-1716-
C05-0706,C04-0302-,C04-0105~
C05-0708,C04-0302-,C04-0305-
C05-0807-,C04-0305-,C04-0302-
C05-0809-,C04-0305-,C04-0203~
C05-0908-,C04-0203~,C04-0305-
C05-0910~,C04-0203~,C04-0807-
C05-1009~,C04-0807-,C04-0203~
C05-1011~,C04-0807-,C04-1819-
C05-1110~,C04-1819-,C04-0807-
C05-1112,C04-1819-,C04-1413~
C05-1211-,C04-1413~,C04-1819-
C05-1213-,C04-1413~,C04-0910-
C05-1312-,C04-0910-,C04-1413~
C05-1314-,C04-0910-,C04-1817-
C05-1413~,C04-1817-,C04-0910-
C05-1415-,C04-1817-,C04-0405~
C05-1514~,C04-0405~,C04-1817-
C05-1516-,C04-0405~,C04-1516~
C05-1615-,C04-1516~,C04-0405~
C05-1617~,C04-1516~,C04-0620-
C05-1716-,C04-0620-,C04-1516~
C05-1718-,C04-0620-,C04-2019~
C05-1817-,C04-2019~,C04-0620-
C05-1819-,C04-2019~,C04-0102-
C05-1918,C04-0102-,C04-2019~
C05-1920~,C04-0102-,C04-1716-
C05-2006-,C04-1716-,C04-0105~
